Date,Generator,timestamp_generator
21-Apr-21,DG12,2021-04-21 - DG12
22-Apr-21,DG12,2021-04-22 - DG12
23-Apr-21,DG12,2021-04-23 - DG12
24-Apr-21,DG12,2021-04-24 - DG12
25-Apr-21,DG12,2021-04-25 - DG12
26-Apr-21,DG12,2021-04-26 - DG12
27-Apr-21,DG12,2021-04-27 - DG12
28-Apr-21,DG12,2021-04-28 - DG12
29-Apr-21,DG12,2021-04-29 - DG12
30-Apr-21,DG12,2021-04-30 - DG12
01-May-21,DG12,2021-05-01 - DG12
02-May-21,DG12,2021-05-02 - DG12
03-May-21,DG12,2021-05-03 - DG12
04-May-21,DG12,2021-05-04 - DG12
05-May-21,DG12,2021-05-05 - DG12
06-May-21,DG12,2021-05-06 - DG12
07-May-21,DG12,2021-05-07 - DG12
08-May-21,DG12,2021-05-08 - DG12
09-May-21,DG12,2021-05-09 - DG12
10-May-21,DG12,2021-05-10 - DG12
11-May-21,DG12,2021-05-11 - DG12
12-May-21,DG12,2021-05-12 - DG12
13-May-21,DG12,2021-05-13 - DG12
14-May-21,DG12,2021-05-14 - DG12
15-May-21,DG12,2021-05-15 - DG12
16-May-21,DG12,2021-05-16 - DG12
17-May-21,DG12,2021-05-17 - DG12
18-May-21,DG12,2021-05-18 - DG12
19-May-21,DG12,2021-05-19 - DG12
20-May-21,DG12,2021-05-20 - DG12
21-May-21,DG12,2021-05-21 - DG12
22-May-21,DG12,2021-05-22 - DG12
23-May-21,DG12,2021-05-23 - DG12
24-May-21,DG12,2021-05-24 - DG12
25-May-21,DG12,2021-05-25 - DG12
26-May-21,DG12,2021-05-26 - DG12
27-May-21,DG12,2021-05-27 - DG12
28-May-21,DG12,2021-05-28 - DG12
29-May-21,DG12,2021-05-29 - DG12
30-May-21,DG12,2021-05-30 - DG12
31-May-21,DG12,2021-05-31 - DG12
01-Jun-21,DG12,2021-06-01 - DG12
02-Jun-21,DG12,2021-06-02 - DG12
03-Jun-21,DG12,2021-06-03 - DG12
04-Jun-21,DG12,2021-06-04 - DG12
05-Jun-21,DG12,2021-06-05 - DG12
06-Jun-21,DG12,2021-06-06 - DG12
07-Jun-21,DG12,2021-06-07 - DG12
08-Jun-21,DG12,2021-06-08 - DG12
09-Jun-21,DG12,2021-06-09 - DG12
10-Jun-21,DG12,2021-06-10 - DG12
11-Jun-21,DG12,2021-06-11 - DG12
12-Jun-21,DG12,2021-06-12 - DG12
13-Jun-21,DG12,2021-06-13 - DG12
14-Jun-21,DG12,2021-06-14 - DG12
15-Jun-21,DG12,2021-06-15 - DG12
16-Jun-21,DG12,2021-06-16 - DG12
17-Jun-21,DG12,2021-06-17 - DG12
18-Jun-21,DG12,2021-06-18 - DG12
19-Jun-21,DG12,2021-06-19 - DG12
20-Jun-21,DG12,2021-06-20 - DG12
21-Jun-21,DG12,2021-06-21 - DG12
22-Jun-21,DG12,2021-06-22 - DG12
23-Jun-21,DG12,2021-06-23 - DG12
24-Jun-21,DG12,2021-06-24 - DG12
25-Jun-21,DG12,2021-06-25 - DG12
26-Jun-21,DG12,2021-06-26 - DG12
27-Jun-21,DG12,2021-06-27 - DG12
28-Jun-21,DG12,2021-06-28 - DG12
29-Jun-21,DG12,2021-06-29 - DG12
30-Jun-21,DG12,2021-06-30 - DG12
01-Jul-21,DG12,2021-07-01 - DG12
02-Jul-21,DG12,2021-07-02 - DG12
03-Jul-21,DG12,2021-07-03 - DG12
04-Jul-21,DG12,2021-07-04 - DG12
05-Jul-21,DG12,2021-07-05 - DG12
06-Jul-21,DG12,2021-07-06 - DG12
07-Jul-21,DG12,2021-07-07 - DG12
08-Jul-21,DG12,2021-07-08 - DG12
09-Jul-21,DG12,2021-07-09 - DG12
10-Jul-21,DG12,2021-07-10 - DG12
11-Jul-21,DG12,2021-07-11 - DG12
12-Jul-21,DG12,2021-07-12 - DG12
13-Jul-21,DG12,2021-07-13 - DG12
14-Jul-21,DG12,2021-07-14 - DG12
15-Jul-21,DG12,2021-07-15 - DG12
16-Jul-21,DG12,2021-07-16 - DG12
17-Jul-21,DG12,2021-07-17 - DG12
18-Jul-21,DG12,2021-07-18 - DG12
19-Jul-21,DG12,2021-07-19 - DG12
20-Jul-21,DG12,2021-07-20 - DG12
21-Jul-21,DG12,2021-07-21 - DG12
22-Jul-21,DG12,2021-07-22 - DG12
23-Jul-21,DG12,2021-07-23 - DG12
24-Jul-21,DG12,2021-07-24 - DG12
25-Jul-21,DG12,2021-07-25 - DG12
26-Jul-21,DG12,2021-07-26 - DG12
27-Jul-21,DG12,2021-07-27 - DG12
28-Jul-21,DG12,2021-07-28 - DG12
29-Jul-21,DG12,2021-07-29 - DG12
30-Jul-21,DG12,2021-07-30 - DG12
31-Jul-21,DG12,2021-07-31 - DG12
01-Aug-21,DG12,2021-08-01 - DG12
02-Aug-21,DG12,2021-08-02 - DG12
03-Aug-21,DG12,2021-08-03 - DG12
04-Aug-21,DG12,2021-08-04 - DG12
05-Aug-21,DG12,2021-08-05 - DG12
06-Aug-21,DG12,2021-08-06 - DG12
07-Aug-21,DG12,2021-08-07 - DG12
08-Aug-21,DG12,2021-08-08 - DG12
09-Aug-21,DG12,2021-08-09 - DG12
10-Aug-21,DG12,2021-08-10 - DG12
11-Aug-21,DG12,2021-08-11 - DG12
12-Aug-21,DG12,2021-08-12 - DG12
13-Aug-21,DG12,2021-08-13 - DG12
14-Aug-21,DG12,2021-08-14 - DG12
15-Aug-21,DG12,2021-08-15 - DG12
16-Aug-21,DG12,2021-08-16 - DG12
17-Aug-21,DG12,2021-08-17 - DG12
18-Aug-21,DG12,2021-08-18 - DG12
19-Aug-21,DG12,2021-08-19 - DG12
20-Aug-21,DG12,2021-08-20 - DG12
21-Aug-21,DG12,2021-08-21 - DG12
22-Aug-21,DG12,2021-08-22 - DG12
23-Aug-21,DG12,2021-08-23 - DG12
24-Aug-21,DG12,2021-08-24 - DG12
25-Aug-21,DG12,2021-08-25 - DG12
26-Aug-21,DG12,2021-08-26 - DG12
27-Aug-21,DG12,2021-08-27 - DG12
28-Aug-21,DG12,2021-08-28 - DG12
29-Aug-21,DG12,2021-08-29 - DG12
30-Aug-21,DG12,2021-08-30 - DG12
31-Aug-21,DG12,2021-08-31 - DG12
01-Sep-21,DG12,2021-09-01 - DG12
02-Sep-21,DG12,2021-09-02 - DG12
03-Sep-21,DG12,2021-09-03 - DG12
04-Sep-21,DG12,2021-09-04 - DG12
05-Sep-21,DG12,2021-09-05 - DG12
06-Sep-21,DG12,2021-09-06 - DG12
07-Sep-21,DG12,2021-09-07 - DG12
08-Sep-21,DG12,2021-09-08 - DG12
09-Sep-21,DG12,2021-09-09 - DG12
10-Sep-21,DG12,2021-09-10 - DG12
11-Sep-21,DG12,2021-09-11 - DG12
12-Sep-21,DG12,2021-09-12 - DG12
13-Sep-21,DG12,2021-09-13 - DG12
14-Sep-21,DG12,2021-09-14 - DG12
15-Sep-21,DG12,2021-09-15 - DG12
16-Sep-21,DG12,2021-09-16 - DG12
17-Sep-21,DG12,2021-09-17 - DG12
18-Sep-21,DG12,2021-09-18 - DG12
19-Sep-21,DG12,2021-09-19 - DG12
20-Sep-21,DG12,2021-09-20 - DG12
21-Sep-21,DG12,2021-09-21 - DG12
22-Sep-21,DG12,2021-09-22 - DG12
23-Sep-21,DG12,2021-09-23 - DG12
24-Sep-21,DG12,2021-09-24 - DG12
25-Sep-21,DG12,2021-09-25 - DG12
26-Sep-21,DG12,2021-09-26 - DG12
27-Sep-21,DG12,2021-09-27 - DG12
28-Sep-21,DG12,2021-09-28 - DG12
29-Sep-21,DG12,2021-09-29 - DG12
30-Sep-21,DG12,2021-09-30 - DG12
01-Oct-21,DG12,2021-10-01 - DG12
02-Oct-21,DG12,2021-10-02 - DG12
03-Oct-21,DG12,2021-10-03 - DG12
04-Oct-21,DG12,2021-10-04 - DG12
05-Oct-21,DG12,2021-10-05 - DG12
06-Oct-21,DG12,2021-10-06 - DG12
07-Oct-21,DG12,2021-10-07 - DG12
08-Oct-21,DG12,2021-10-08 - DG12
09-Oct-21,DG12,2021-10-09 - DG12
10-Oct-21,DG12,2021-10-10 - DG12
11-Oct-21,DG12,2021-10-11 - DG12
12-Oct-21,DG12,2021-10-12 - DG12
13-Oct-21,DG12,2021-10-13 - DG12
14-Oct-21,DG12,2021-10-14 - DG12
15-Oct-21,DG12,2021-10-15 - DG12
16-Oct-21,DG12,2021-10-16 - DG12
17-Oct-21,DG12,2021-10-17 - DG12
18-Oct-21,DG12,2021-10-18 - DG12
19-Oct-21,DG12,2021-10-19 - DG12
20-Oct-21,DG12,2021-10-20 - DG12
21-Oct-21,DG12,2021-10-21 - DG12
22-Oct-21,DG12,2021-10-22 - DG12
23-Oct-21,DG12,2021-10-23 - DG12
24-Oct-21,DG12,2021-10-24 - DG12
25-Oct-21,DG12,2021-10-25 - DG12
26-Oct-21,DG12,2021-10-26 - DG12
27-Oct-21,DG12,2021-10-27 - DG12
28-Oct-21,DG12,2021-10-28 - DG12
29-Oct-21,DG12,2021-10-29 - DG12
30-Oct-21,DG12,2021-10-30 - DG12
31-Oct-21,DG12,2021-10-31 - DG12
01-Nov-21,DG12,2021-11-01 - DG12
02-Nov-21,DG12,2021-11-02 - DG12
03-Nov-21,DG12,2021-11-03 - DG12
04-Nov-21,DG12,2021-11-04 - DG12
05-Nov-21,DG12,2021-11-05 - DG12
06-Nov-21,DG12,2021-11-06 - DG12
07-Nov-21,DG12,2021-11-07 - DG12
08-Nov-21,DG12,2021-11-08 - DG12
09-Nov-21,DG12,2021-11-09 - DG12
10-Nov-21,DG12,2021-11-10 - DG12
11-Nov-21,DG12,2021-11-11 - DG12
12-Nov-21,DG12,2021-11-12 - DG12
13-Nov-21,DG12,2021-11-13 - DG12
14-Nov-21,DG12,2021-11-14 - DG12
15-Nov-21,DG12,2021-11-15 - DG12
16-Nov-21,DG12,2021-11-16 - DG12
17-Nov-21,DG12,2021-11-17 - DG12
18-Nov-21,DG12,2021-11-18 - DG12
19-Nov-21,DG12,2021-11-19 - DG12
20-Nov-21,DG12,2021-11-20 - DG12
21-Nov-21,DG12,2021-11-21 - DG12
22-Nov-21,DG12,2021-11-22 - DG12
23-Nov-21,DG12,2021-11-23 - DG12
24-Nov-21,DG12,2021-11-24 - DG12
25-Nov-21,DG12,2021-11-25 - DG12
26-Nov-21,DG12,2021-11-26 - DG12
27-Nov-21,DG12,2021-11-27 - DG12
28-Nov-21,DG12,2021-11-28 - DG12
29-Nov-21,DG12,2021-11-29 - DG12
30-Nov-21,DG12,2021-11-30 - DG12
01-Dec-21,DG12,2021-12-01 - DG12
02-Dec-21,DG12,2021-12-02 - DG12
03-Dec-21,DG12,2021-12-03 - DG12
04-Dec-21,DG12,2021-12-04 - DG12
05-Dec-21,DG12,2021-12-05 - DG12
06-Dec-21,DG12,2021-12-06 - DG12
07-Dec-21,DG12,2021-12-07 - DG12
08-Dec-21,DG12,2021-12-08 - DG12
09-Dec-21,DG12,2021-12-09 - DG12
10-Dec-21,DG12,2021-12-10 - DG12
11-Dec-21,DG12,2021-12-11 - DG12
12-Dec-21,DG12,2021-12-12 - DG12
13-Dec-21,DG12,2021-12-13 - DG12
14-Dec-21,DG12,2021-12-14 - DG12
15-Dec-21,DG12,2021-12-15 - DG12
16-Dec-21,DG12,2021-12-16 - DG12
17-Dec-21,DG12,2021-12-17 - DG12
18-Dec-21,DG12,2021-12-18 - DG12
19-Dec-21,DG12,2021-12-19 - DG12
20-Dec-21,DG12,2021-12-20 - DG12
21-Dec-21,DG12,2021-12-21 - DG12
22-Dec-21,DG12,2021-12-22 - DG12
23-Dec-21,DG12,2021-12-23 - DG12
24-Dec-21,DG12,2021-12-24 - DG12
25-Dec-21,DG12,2021-12-25 - DG12
26-Dec-21,DG12,2021-12-26 - DG12
27-Dec-21,DG12,2021-12-27 - DG12
28-Dec-21,DG12,2021-12-28 - DG12
29-Dec-21,DG12,2021-12-29 - DG12
30-Dec-21,DG12,2021-12-30 - DG12
31-Dec-21,DG12,2021-12-31 - DG12
01-Jan-22,DG12,2022-01-01 - DG12
02-Jan-22,DG12,2022-01-02 - DG12
03-Jan-22,DG12,2022-01-03 - DG12
04-Jan-22,DG12,2022-01-04 - DG12
05-Jan-22,DG12,2022-01-05 - DG12
06-Jan-22,DG12,2022-01-06 - DG12
07-Jan-22,DG12,2022-01-07 - DG12
08-Jan-22,DG12,2022-01-08 - DG12
09-Jan-22,DG12,2022-01-09 - DG12
10-Jan-22,DG12,2022-01-10 - DG12
11-Jan-22,DG12,2022-01-11 - DG12
12-Jan-22,DG12,2022-01-12 - DG12
13-Jan-22,DG12,2022-01-13 - DG12
14-Jan-22,DG12,2022-01-14 - DG12
15-Jan-22,DG12,2022-01-15 - DG12
16-Jan-22,DG12,2022-01-16 - DG12
17-Jan-22,DG12,2022-01-17 - DG12
18-Jan-22,DG12,2022-01-18 - DG12
19-Jan-22,DG12,2022-01-19 - DG12
20-Jan-22,DG12,2022-01-20 - DG12
21-Jan-22,DG12,2022-01-21 - DG12
22-Jan-22,DG12,2022-01-22 - DG12
23-Jan-22,DG12,2022-01-23 - DG12
24-Jan-22,DG12,2022-01-24 - DG12
25-Jan-22,DG12,2022-01-25 - DG12
26-Jan-22,DG12,2022-01-26 - DG12
27-Jan-22,DG12,2022-01-27 - DG12
28-Jan-22,DG12,2022-01-28 - DG12
29-Jan-22,DG12,2022-01-29 - DG12
30-Jan-22,DG12,2022-01-30 - DG12
31-Jan-22,DG12,2022-01-31 - DG12
01-Feb-22,DG12,2022-02-01 - DG12
02-Feb-22,DG12,2022-02-02 - DG12
03-Feb-22,DG12,2022-02-03 - DG12
04-Feb-22,DG12,2022-02-04 - DG12
05-Feb-22,DG12,2022-02-05 - DG12
06-Feb-22,DG12,2022-02-06 - DG12
07-Feb-22,DG12,2022-02-07 - DG12
08-Feb-22,DG12,2022-02-08 - DG12
09-Feb-22,DG12,2022-02-09 - DG12
10-Feb-22,DG12,2022-02-10 - DG12
11-Feb-22,DG12,2022-02-11 - DG12
12-Feb-22,DG12,2022-02-12 - DG12
13-Feb-22,DG12,2022-02-13 - DG12
14-Feb-22,DG12,2022-02-14 - DG12
15-Feb-22,DG12,2022-02-15 - DG12
16-Feb-22,DG12,2022-02-16 - DG12
17-Feb-22,DG12,2022-02-17 - DG12
18-Feb-22,DG12,2022-02-18 - DG12
19-Feb-22,DG12,2022-02-19 - DG12
20-Feb-22,DG12,2022-02-20 - DG12
21-Feb-22,DG12,2022-02-21 - DG12
22-Feb-22,DG12,2022-02-22 - DG12
23-Feb-22,DG12,2022-02-23 - DG12
24-Feb-22,DG12,2022-02-24 - DG12
25-Feb-22,DG12,2022-02-25 - DG12
26-Feb-22,DG12,2022-02-26 - DG12
27-Feb-22,DG12,2022-02-27 - DG12
28-Feb-22,DG12,2022-02-28 - DG12
01-Mar-22,DG12,2022-03-01 - DG12
02-Mar-22,DG12,2022-03-02 - DG12
03-Mar-22,DG12,2022-03-03 - DG12
04-Mar-22,DG12,2022-03-04 - DG12
05-Mar-22,DG12,2022-03-05 - DG12
06-Mar-22,DG12,2022-03-06 - DG12
07-Mar-22,DG12,2022-03-07 - DG12
08-Mar-22,DG12,2022-03-08 - DG12
09-Mar-22,DG12,2022-03-09 - DG12
10-Mar-22,DG12,2022-03-10 - DG12
11-Mar-22,DG12,2022-03-11 - DG12
12-Mar-22,DG12,2022-03-12 - DG12
13-Mar-22,DG12,2022-03-13 - DG12
14-Mar-22,DG12,2022-03-14 - DG12
15-Mar-22,DG12,2022-03-15 - DG12
16-Mar-22,DG12,2022-03-16 - DG12
17-Mar-22,DG12,2022-03-17 - DG12
18-Mar-22,DG12,2022-03-18 - DG12
19-Mar-22,DG12,2022-03-19 - DG12
20-Mar-22,DG12,2022-03-20 - DG12
21-Mar-22,DG12,2022-03-21 - DG12
22-Mar-22,DG12,2022-03-22 - DG12
23-Mar-22,DG12,2022-03-23 - DG12
24-Mar-22,DG12,2022-03-24 - DG12
25-Mar-22,DG12,2022-03-25 - DG12
26-Mar-22,DG12,2022-03-26 - DG12
27-Mar-22,DG12,2022-03-27 - DG12
28-Mar-22,DG12,2022-03-28 - DG12
29-Mar-22,DG12,2022-03-29 - DG12
30-Mar-22,DG12,2022-03-30 - DG12
31-Mar-22,DG12,2022-03-31 - DG12
01-Apr-22,DG12,2022-04-01 - DG12
02-Apr-22,DG12,2022-04-02 - DG12
03-Apr-22,DG12,2022-04-03 - DG12
04-Apr-22,DG12,2022-04-04 - DG12
05-Apr-22,DG12,2022-04-05 - DG12
06-Apr-22,DG12,2022-04-06 - DG12
07-Apr-22,DG12,2022-04-07 - DG12
08-Apr-22,DG12,2022-04-08 - DG12
09-Apr-22,DG12,2022-04-09 - DG12
10-Apr-22,DG12,2022-04-10 - DG12
11-Apr-22,DG12,2022-04-11 - DG12
12-Apr-22,DG12,2022-04-12 - DG12
13-Apr-22,DG12,2022-04-13 - DG12
14-Apr-22,DG12,2022-04-14 - DG12
15-Apr-22,DG12,2022-04-15 - DG12
16-Apr-22,DG12,2022-04-16 - DG12
17-Apr-22,DG12,2022-04-17 - DG12
18-Apr-22,DG12,2022-04-18 - DG12
19-Apr-22,DG12,2022-04-19 - DG12
20-Apr-22,DG12,2022-04-20 - DG12
21-Apr-22,DG12,2022-04-21 - DG12
22-Apr-22,DG12,2022-04-22 - DG12
23-Apr-22,DG12,2022-04-23 - DG12
24-Apr-22,DG12,2022-04-24 - DG12
25-Apr-22,DG12,2022-04-25 - DG12
26-Apr-22,DG12,2022-04-26 - DG12
27-Apr-22,DG12,2022-04-27 - DG12
28-Apr-22,DG12,2022-04-28 - DG12
29-Apr-22,DG12,2022-04-29 - DG12
30-Apr-22,DG12,2022-04-30 - DG12
01-May-22,DG12,2022-05-01 - DG12
02-May-22,DG12,2022-05-02 - DG12
03-May-22,DG12,2022-05-03 - DG12
04-May-22,DG12,2022-05-04 - DG12
05-May-22,DG12,2022-05-05 - DG12
06-May-22,DG12,2022-05-06 - DG12
07-May-22,DG12,2022-05-07 - DG12
08-May-22,DG12,2022-05-08 - DG12
09-May-22,DG12,2022-05-09 - DG12
10-May-22,DG12,2022-05-10 - DG12
11-May-22,DG12,2022-05-11 - DG12
12-May-22,DG12,2022-05-12 - DG12
13-May-22,DG12,2022-05-13 - DG12
14-May-22,DG12,2022-05-14 - DG12
15-May-22,DG12,2022-05-15 - DG12
16-May-22,DG12,2022-05-16 - DG12
17-May-22,DG12,2022-05-17 - DG12
18-May-22,DG12,2022-05-18 - DG12
19-May-22,DG12,2022-05-19 - DG12
20-May-22,DG12,2022-05-20 - DG12
21-May-22,DG12,2022-05-21 - DG12
22-May-22,DG12,2022-05-22 - DG12
23-May-22,DG12,2022-05-23 - DG12
24-May-22,DG12,2022-05-24 - DG12
25-May-22,DG12,2022-05-25 - DG12
26-May-22,DG12,2022-05-26 - DG12
27-May-22,DG12,2022-05-27 - DG12
28-May-22,DG12,2022-05-28 - DG12
29-May-22,DG12,2022-05-29 - DG12
30-May-22,DG12,2022-05-30 - DG12
31-May-22,DG12,2022-05-31 - DG12
01-Jun-22,DG12,2022-06-01 - DG12
02-Jun-22,DG12,2022-06-02 - DG12
03-Jun-22,DG12,2022-06-03 - DG12
04-Jun-22,DG12,2022-06-04 - DG12
05-Jun-22,DG12,2022-06-05 - DG12
06-Jun-22,DG12,2022-06-06 - DG12
07-Jun-22,DG12,2022-06-07 - DG12
08-Jun-22,DG12,2022-06-08 - DG12
09-Jun-22,DG12,2022-06-09 - DG12
10-Jun-22,DG12,2022-06-10 - DG12
11-Jun-22,DG12,2022-06-11 - DG12
12-Jun-22,DG12,2022-06-12 - DG12
13-Jun-22,DG12,2022-06-13 - DG12
14-Jun-22,DG12,2022-06-14 - DG12
15-Jun-22,DG12,2022-06-15 - DG12
16-Jun-22,DG12,2022-06-16 - DG12
17-Jun-22,DG12,2022-06-17 - DG12
18-Jun-22,DG12,2022-06-18 - DG12
19-Jun-22,DG12,2022-06-19 - DG12
20-Jun-22,DG12,2022-06-20 - DG12
21-Jun-22,DG12,2022-06-21 - DG12
22-Jun-22,DG12,2022-06-22 - DG12
23-Jun-22,DG12,2022-06-23 - DG12
24-Jun-22,DG12,2022-06-24 - DG12
25-Jun-22,DG12,2022-06-25 - DG12
26-Jun-22,DG12,2022-06-26 - DG12
27-Jun-22,DG12,2022-06-27 - DG12
28-Jun-22,DG12,2022-06-28 - DG12
29-Jun-22,DG12,2022-06-29 - DG12
30-Jun-22,DG12,2022-06-30 - DG12
01-Jul-22,DG12,2022-07-01 - DG12
02-Jul-22,DG12,2022-07-02 - DG12
03-Jul-22,DG12,2022-07-03 - DG12
04-Jul-22,DG12,2022-07-04 - DG12
05-Jul-22,DG12,2022-07-05 - DG12
06-Jul-22,DG12,2022-07-06 - DG12
07-Jul-22,DG12,2022-07-07 - DG12
08-Jul-22,DG12,2022-07-08 - DG12
09-Jul-22,DG12,2022-07-09 - DG12
10-Jul-22,DG12,2022-07-10 - DG12
11-Jul-22,DG12,2022-07-11 - DG12
12-Jul-22,DG12,2022-07-12 - DG12
13-Jul-22,DG12,2022-07-13 - DG12
14-Jul-22,DG12,2022-07-14 - DG12
15-Jul-22,DG12,2022-07-15 - DG12
16-Jul-22,DG12,2022-07-16 - DG12
17-Jul-22,DG12,2022-07-17 - DG12
18-Jul-22,DG12,2022-07-18 - DG12
19-Jul-22,DG12,2022-07-19 - DG12
20-Jul-22,DG12,2022-07-20 - DG12
21-Jul-22,DG12,2022-07-21 - DG12
22-Jul-22,DG12,2022-07-22 - DG12
23-Jul-22,DG12,2022-07-23 - DG12
24-Jul-22,DG12,2022-07-24 - DG12
25-Jul-22,DG12,2022-07-25 - DG12
26-Jul-22,DG12,2022-07-26 - DG12
27-Jul-22,DG12,2022-07-27 - DG12
28-Jul-22,DG12,2022-07-28 - DG12
29-Jul-22,DG12,2022-07-29 - DG12
30-Jul-22,DG12,2022-07-30 - DG12
31-Jul-22,DG12,2022-07-31 - DG12
01-Aug-22,DG12,2022-08-01 - DG12
02-Aug-22,DG12,2022-08-02 - DG12
03-Aug-22,DG12,2022-08-03 - DG12
04-Aug-22,DG12,2022-08-04 - DG12
05-Aug-22,DG12,2022-08-05 - DG12
06-Aug-22,DG12,2022-08-06 - DG12
07-Aug-22,DG12,2022-08-07 - DG12
08-Aug-22,DG12,2022-08-08 - DG12
09-Aug-22,DG12,2022-08-09 - DG12
10-Aug-22,DG12,2022-08-10 - DG12
11-Aug-22,DG12,2022-08-11 - DG12
12-Aug-22,DG12,2022-08-12 - DG12
13-Aug-22,DG12,2022-08-13 - DG12
14-Aug-22,DG12,2022-08-14 - DG12
15-Aug-22,DG12,2022-08-15 - DG12
16-Aug-22,DG12,2022-08-16 - DG12
17-Aug-22,DG12,2022-08-17 - DG12
18-Aug-22,DG12,2022-08-18 - DG12
19-Aug-22,DG12,2022-08-19 - DG12
20-Aug-22,DG12,2022-08-20 - DG12
21-Aug-22,DG12,2022-08-21 - DG12
22-Aug-22,DG12,2022-08-22 - DG12
23-Aug-22,DG12,2022-08-23 - DG12
24-Aug-22,DG12,2022-08-24 - DG12
25-Aug-22,DG12,2022-08-25 - DG12
26-Aug-22,DG12,2022-08-26 - DG12
27-Aug-22,DG12,2022-08-27 - DG12
28-Aug-22,DG12,2022-08-28 - DG12
29-Aug-22,DG12,2022-08-29 - DG12
30-Aug-22,DG12,2022-08-30 - DG12
31-Aug-22,DG12,2022-08-31 - DG12
01-Sep-22,DG12,2022-09-01 - DG12
02-Sep-22,DG12,2022-09-02 - DG12
03-Sep-22,DG12,2022-09-03 - DG12
04-Sep-22,DG12,2022-09-04 - DG12
05-Sep-22,DG12,2022-09-05 - DG12
06-Sep-22,DG12,2022-09-06 - DG12
07-Sep-22,DG12,2022-09-07 - DG12
08-Sep-22,DG12,2022-09-08 - DG12
09-Sep-22,DG12,2022-09-09 - DG12
10-Sep-22,DG12,2022-09-10 - DG12
11-Sep-22,DG12,2022-09-11 - DG12
12-Sep-22,DG12,2022-09-12 - DG12
13-Sep-22,DG12,2022-09-13 - DG12
14-Sep-22,DG12,2022-09-14 - DG12
15-Sep-22,DG12,2022-09-15 - DG12
16-Sep-22,DG12,2022-09-16 - DG12
17-Sep-22,DG12,2022-09-17 - DG12
18-Sep-22,DG12,2022-09-18 - DG12
19-Sep-22,DG12,2022-09-19 - DG12
20-Sep-22,DG12,2022-09-20 - DG12
21-Sep-22,DG12,2022-09-21 - DG12
22-Sep-22,DG12,2022-09-22 - DG12
23-Sep-22,DG12,2022-09-23 - DG12
24-Sep-22,DG12,2022-09-24 - DG12
25-Sep-22,DG12,2022-09-25 - DG12
26-Sep-22,DG12,2022-09-26 - DG12
27-Sep-22,DG12,2022-09-27 - DG12
28-Sep-22,DG12,2022-09-28 - DG12
29-Sep-22,DG12,2022-09-29 - DG12
30-Sep-22,DG12,2022-09-30 - DG12
01-Oct-22,DG12,2022-10-01 - DG12
02-Oct-22,DG12,2022-10-02 - DG12
03-Oct-22,DG12,2022-10-03 - DG12
04-Oct-22,DG12,2022-10-04 - DG12
05-Oct-22,DG12,2022-10-05 - DG12
06-Oct-22,DG12,2022-10-06 - DG12
07-Oct-22,DG12,2022-10-07 - DG12
08-Oct-22,DG12,2022-10-08 - DG12
09-Oct-22,DG12,2022-10-09 - DG12
10-Oct-22,DG12,2022-10-10 - DG12
11-Oct-22,DG12,2022-10-11 - DG12
12-Oct-22,DG12,2022-10-12 - DG12
13-Oct-22,DG12,2022-10-13 - DG12
14-Oct-22,DG12,2022-10-14 - DG12
15-Oct-22,DG12,2022-10-15 - DG12
16-Oct-22,DG12,2022-10-16 - DG12
17-Oct-22,DG12,2022-10-17 - DG12
18-Oct-22,DG12,2022-10-18 - DG12
19-Oct-22,DG12,2022-10-19 - DG12
20-Oct-22,DG12,2022-10-20 - DG12
21-Oct-22,DG12,2022-10-21 - DG12
22-Oct-22,DG12,2022-10-22 - DG12
23-Oct-22,DG12,2022-10-23 - DG12
24-Oct-22,DG12,2022-10-24 - DG12
25-Oct-22,DG12,2022-10-25 - DG12
26-Oct-22,DG12,2022-10-26 - DG12
27-Oct-22,DG12,2022-10-27 - DG12
28-Oct-22,DG12,2022-10-28 - DG12
29-Oct-22,DG12,2022-10-29 - DG12
30-Oct-22,DG12,2022-10-30 - DG12
31-Oct-22,DG12,2022-10-31 - DG12
01-Nov-22,DG12,2022-11-01 - DG12
02-Nov-22,DG12,2022-11-02 - DG12
03-Nov-22,DG12,2022-11-03 - DG12
04-Nov-22,DG12,2022-11-04 - DG12
05-Nov-22,DG12,2022-11-05 - DG12
06-Nov-22,DG12,2022-11-06 - DG12
07-Nov-22,DG12,2022-11-07 - DG12
08-Nov-22,DG12,2022-11-08 - DG12
09-Nov-22,DG12,2022-11-09 - DG12
10-Nov-22,DG12,2022-11-10 - DG12
11-Nov-22,DG12,2022-11-11 - DG12
12-Nov-22,DG12,2022-11-12 - DG12
13-Nov-22,DG12,2022-11-13 - DG12
14-Nov-22,DG12,2022-11-14 - DG12
15-Nov-22,DG12,2022-11-15 - DG12
16-Nov-22,DG12,2022-11-16 - DG12
17-Nov-22,DG12,2022-11-17 - DG12
18-Nov-22,DG12,2022-11-18 - DG12
19-Nov-22,DG12,2022-11-19 - DG12
20-Nov-22,DG12,2022-11-20 - DG12
21-Nov-22,DG12,2022-11-21 - DG12
22-Nov-22,DG12,2022-11-22 - DG12
23-Nov-22,DG12,2022-11-23 - DG12
24-Nov-22,DG12,2022-11-24 - DG12
25-Nov-22,DG12,2022-11-25 - DG12
26-Nov-22,DG12,2022-11-26 - DG12
27-Nov-22,DG12,2022-11-27 - DG12
28-Nov-22,DG12,2022-11-28 - DG12
